Table,Year,Data_item,Region,State,Value,Units
Milk cows,1974,"Milk cows, average inventory",Northern Plains,Nebraska,158.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Northern Plains,North Dakota,119.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Northern Plains,South Dakota,174.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Northern Plains,Total region,598.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Appalachia,Kentucky,297.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Appalachia,North Carolina,146.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Appalachia,Tennessee,218.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Appalachia,Virginia,175.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Appalachia,West Virginia,42.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Appalachia,Total region,878.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Southeast,Alabama,95.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Southeast,Florida,201.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Southeast,Georgia,130.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Southeast,South Carolina,57.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Southeast,Total region,483.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Delta States,Arkansas,92.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Delta States,Louisiana,137.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Delta States,Mississippi,129.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Delta States,Total region,358.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Southern Plains,Oklahoma,124.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Southern Plains,Texas,349.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Southern Plains,Total region,473.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Mountain Region,Arizona,62.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Mountain Region,Colorado,76.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Mountain Region,Idaho,149.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Mountain Region,Montana,28.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Mountain Region,Nevada,14.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Mountain Region,New Mexico,30.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Mountain Region,Utah,78.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Mountain Region,Wyoming,13.20,Thousand head
Milk cows,1974,"Milk cows, average inventory",Mountain Region,Total region,450.20,Thousand head
Milk cows,1974,"Milk cows, average inventory",West Coast,California,797.00,Thousand head
